Database,Payment,Table,IFCGLs
IFCCode,SysAccountName,AccountAlias,Id
1,IFCC,---1101003010003**,0
2,IFCC,---1101003010003**,0
3,IFCC,---1101003010003**,0
4,IFCC,---1101003010003**,0
5,IFCC,---1101003010003**,0
6,IFCC,---1101003010003**,0
7,IFCC,---1101003010003**,0
8,IFCC,---1101003010003**,0
9,IFCC,---1101003010003**,0
10,IFCC,---1101003010003**,0
11,IFCC,---1101003010003**,0
12,IFCC,---1101003010003**,0
13,IFCC,---1101003010003**,0
14,IFCC,---1101003010003**,0
15,IFCC,---1101003010003**,0
16,IFCC,---1101003010003**,0
17,IFCC,---1101003010003**,0
18,IFCC,---1101003010003**,0
19,IFCC,---1101003010003**,0
20,IFCC,---1101003010003**,0
21,IFCC,---1101003010003**,0
22,IFCC,---1101003010003**,0
23,IFCC,---1101003010003**,0
24,IFCC,---1101003010003**,0
25,IFCC,---1101003010003**,0
26,IFCC,---1101003010003**,0
27,IFCC,---1101003010003**,0
28,IFCC,---1101003010003**,0
29,IFCC,---1101003010003**,0
30,IFCC,---1101003010003**,0
31,IFCC,---1101003010003**,0
32,IFCC,---1101003010003**,0
33,IFCC,---1101003010003**,0
34,IFCC,---1101003010003**,0
35,IFCC,---1101003010003**,0
36,IFCC,---1101003010003**,0
37,IFCC,---1101003010003**,0
38,IFCC,---1101003010003**,0
39,IFCC,---1101003010003**,0
40,IFCC,---1101003010003**,0
41,IFCC,---1101003010003**,0
42,IFCC,---1101003010003**,0
43,IFCC,---1101003010003**,0
44,IFCC,---1101003010003**,0
45,IFCC,---1101003010003**,0
46,IFCC,---1101003010003**,0
47,IFCC,---1101003010003**,0
48,IFCC,---1101003010003**,0
49,IFCC,---1101003010003**,0
50,IFCC,---1101003010003**,0
51,IFCC,---1101003010003**,0
52,IFCC,---1101003010003**,0
53,IFCC,---1101003010003**,0
54,IFCC,---1101003010003**,0
55,IFCC,---1101003010003**,0
56,IFCC,---1101003010003**,0
57,IFCC,---1101003010003**,0
58,IFCC,---1101003010003**,0
59,IFCC,---1101003010003**,0
60,IFCC,---1101003010003**,0
61,IFCC,---1101003010003**,0
62,IFCC,---1101003010003**,0
63,IFCC,---1101003010003**,0
64,IFCC,---1101003010003**,0
65,IFCC,---1101003010003**,0
66,IFCC,---1101003010003**,0
